,ENGAGED_df6,prob,prob_d
74658,0,0.21147993843962928,0
63508,0,0.10158042316006012,0
63448,0,0.13029474733148502,0
44049,0,0.10271226986867142,0
68695,0,0.08491484896650997,0
42432,0,0.072650462951572,0
44212,0,0.0992163550182535,0
75281,1,0.11716690304143562,0
71323,0,0.06584741216146583,0
38001,0,0.08044808114008632,0
57060,0,0.08408885135104091,0
53740,0,0.09879072894387345,0
1632,0,0.09997058484462114,0
6048,0,0.056104814710052894,0
75294,0,0.08089088836879972,0
42353,0,0.09267602809546713,0
44948,0,0.10318793014170753,0
39789,0,0.15663630983100643,0
25231,0,0.7103595009664545,1
74731,0,0.16483328935683716,0
75610,1,0.09407029749350923,0
48501,0,0.10858603730487104,0
17975,0,0.08749218659818667,0
73182,0,0.06051067298589299,0
74510,0,0.15988666572885984,0
48399,0,0.0914030782971909,0
58327,0,0.15695120165628648,0
64073,0,0.09223489953967307,0
4559,1,0.18210459510603613,0
17625,0,0.1677047572778996,0
78364,0,0.15063284840529131,0
9288,0,0.10106915570833365,0
71765,0,0.10478315341189708,0
38215,0,0.7894644391597484,1
21887,0,0.0840445102021733,0
15169,0,0.0839798019620905,0
57491,0,0.20344716679498273,0
44172,0,0.11944997563285827,0
57739,0,0.18112400253930314,0
42251,0,0.0325736547955505,0
29137,0,0.30392663830009753,1
40498,0,0.08486266128242956,0
39208,0,0.08886959982703346,0
11482,1,0.740676798918685,1
61603,1,0.8539074238001223,1
59470,0,0.09550569006142758,0
60835,0,0.12988381363095475,0
17579,0,0.9480183144126837,1
16260,0,0.059229735292696095,0
79589,0,0.168104669482617,0
12461,0,0.10141521840190512,0
22221,0,0.19790379949836345,0
36512,0,0.11284700850455963,0
81951,0,0.09232156554675494,0
26414,0,0.0957923710191221,0
12331,0,0.09732845872007438,0
50217,0,0.0766185102663146,0
9531,0,0.09442403770725956,0
47175,0,0.19696111488767898,0
58762,0,0.10778345752875128,0
52581,1,0.14576817422598556,0
17637,1,0.13238595014856103,0
1088,0,0.09734561266745123,0
3741,1,0.965061931824821,1
63838,1,0.9189600456908555,1
31777,0,0.13523663910362108,0
29731,0,0.1549290477966791,0
20544,0,0.08895939341919744,0
46049,1,0.07535384282778464,0
81623,0,0.11372960122092489,0
4928,0,0.3765056629820439,1
51840,0,0.1541366714342007,0
78876,0,0.06265494600344809,0
